ID_BCT_O,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO
MC11344,TROYA,BOCHIL,BELVEDERE AJUSCO,#N/A,PADIERNA,TLALPAN,SUR,19.27078,-99.22535,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11345,TEKAX,XITLE,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.272471,-99.226122,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11346,SACALUM,MAYAHUEL,LOMAS DE PADIERNA SUR,#N/A,PADIERNA,TLALPAN,SUR,19.27402224,-99.22642708,CRUCES SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11347,TROYA,CALLE 35,2 DE OCTUBRE,#N/A,PADIERNA,TLALPAN,SUR,19.271458,-99.231345,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11348,BOSQUES,CERRO DE LOS GAVILANES,SAN NICOLAS 2,#N/A,PADIERNA,TLALPAN,SUR,19.26993,-99.236336,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11349,HOJARASCA,CDA. GUINDAGINA,LOMAS DE CUILOTEPEC,#N/A,PADIERNA,TLALPAN,SUR,19.271789,-99.233403,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11350,BOSQUES,MIRADOR,LOMAS DE CUILOTEPEC,#N/A,PADIERNA,TLALPAN,SUR,19.269185,-99.232748,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11351,EJIDAL,VISTAS DE CUILOTEPEC,VISTAS DEL PEDREGAL,#N/A,PADIERNA,TLALPAN,SUR,19.2713523,-99.23447674,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11352,CEDROS,ENTRE ROBLE Y CALLE 35,LOMAS DE CUILOTEPEC,#N/A,PADIERNA,TLALPAN,SUR,19.270431,-99.231738,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11354,HUEHUETÁN,CHEMAX,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29220375,-99.2193992,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
MC11355,TULUM,ACANCEH,LOMAS DE PADIERNA,#N/A,PADIERNA,TLALPAN,SUR,19.29015272,-99.22738868,BARRIO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS
