ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
MT14943,0,AV.TLÁHUAC,ENTRE JOSÉ BERNAL Y ANTONIO BÉJAR,ZONA RUSTICA TLÁHUAC,#N/A,MIXQUIC,TLAHUAC,ORIENTE,19.286413,-99.0147,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14944,0,AV.TLÁHUAC , JOSÉ BERNAL,ZACATENCO,#N/A,MIXQUIC,TLAHUAC,ORIENTE,19.285353,-99.014297,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14945,0,AV. TLÁHUAC,JOSE BERNAL,ZONA RUSTICA TLÁHUAC,#N/A,MIXQUIC,TLAHUAC,ORIENTE,19.286432,-99.013756,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14948,0,AV. TLÁHUAC,CALLE MANUEL M. LÓPEZ,SANTA ANA PONIENTE,#N/A,ZAPOTITLA,TLAHUAC,ORIENTE,19.300205,-99.046203,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14949,0,AV. TLÁHUAC,PANAL,LAS ARBOLEDAS,#N/A,ZAPOTITLA,TLAHUAC,ORIENTE,19.304357,-99.059165,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14950,0,AV. TLÁHUAC,I. MARÍA BARRERA,EL ROSARIO,#N/A,TEZONCO,IZTAPALAPA,ORIENTE,19.306332,-99.065868,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14951,0,AV. TLÁHUAC,ENTRE IGNACIO ZARAGOZA Y ANILLO PERIFÉRICO,AÑO DE JUAREZ,#N/A,TEZONCO,IZTAPALAPA,ORIENTE,19.317678,-99.074478,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14952,0,AV.TLAHUAC,CASI ESQ. CANAL DE GARAY,MIRASOLES,#N/A,TEZONCO,IZTAPALAPA,ORIENTE,19.31733881,-99.07453857,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14953,0,AV. TLÁHUAC,ENTRE AV. 11 Y TECNICOS Y MANUALES,GRANJAS ESTRELLA,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.320556,-99.085715,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
MT14954,0,AV. TLÁHUAC,ENTRE AV. 11 Y TECNICOS Y MANUALES,LOMAS ESTRELLA 2A SECCION,#N/A,ESTRELLA,IZTAPALAPA,ORIENTE,19.32038989,-99.08576306,METRO SEGURO,CON BOTON,SIN ALTAVOZ,TOTEM,2,1,0,0,FIJA,TOTEMS,,,#N/A
